"","input","filtered","denoisedF","denoisedR","merged","nonchim","NA"
"SRR24359981","SRR24359981_1.fastq.gz",5889,5513,5489,5490,15,15
"SRR24359982","SRR24359982_1.fastq.gz",13192,10957,10489,10354,107,105
"SRR24359983","SRR24359983_1.fastq.gz",67187,61576,61466,61379,177,161
"SRR24359984","SRR24359984_1.fastq.gz",2714,2123,1593,1573,154,154
"SRR24359985","SRR24359985_1.fastq.gz",6938,6464,6421,6408,8,8
"SRR24359986","SRR24359986_1.fastq.gz",11226,10334,10249,10235,0,0
"SRR24359987","SRR24359987_1.fastq.gz",10946,10073,10029,10016,6,6
"SRR24359988","SRR24359988_1.fastq.gz",4788,4425,4367,4392,45,45
"SRR24359989","SRR24359989_1.fastq.gz",14021,12962,12919,12856,8,7
"SRR24359990","SRR24359990_1.fastq.gz",9568,8852,8825,8745,0,0
"SRR24359991","SRR24359991_1.fastq.gz",14058,13101,13071,13044,0,0
"SRR24359992","SRR24359992_1.fastq.gz",19924,18150,18026,17991,16,16
"SRR24359993","SRR24359993_1.fastq.gz",15422,13912,13714,13672,26,21
"SRR24359994","SRR24359994_1.fastq.gz",13674,12501,12374,12281,37,35
"SRR24359995","SRR24359995_1.fastq.gz",13764,12770,12737,12719,37,36
"SRR24359996","SRR24359996_1.fastq.gz",12893,11809,11704,11698,0,0
"SRR24359997","SRR24359997_1.fastq.gz",14997,14084,14024,13984,77,69
"SRR24359998","SRR24359998_1.fastq.gz",20402,19153,19080,19061,57,52
"SRR24359999","SRR24359999_1.fastq.gz",8388,7731,7690,7646,49,45
"SRR24360000","SRR24360000_1.fastq.gz",233,155,38,26,0,0
"SRR24360001","SRR24360001_1.fastq.gz",7907,7410,7383,7358,19,19
"SRR24360002","SRR24360002_1.fastq.gz",18235,16334,16214,16122,84,82
"SRR24360003","SRR24360003_1.fastq.gz",15561,13356,12628,12593,346,346
"SRR24360004","SRR24360004_1.fastq.gz",9920,9218,9175,9173,27,27
"SRR24360005","SRR24360005_1.fastq.gz",7145,6648,6625,6600,18,18
"SRR24360006","SRR24360006_1.fastq.gz",4469,4195,4134,4126,11,11
"SRR24360007","SRR24360007_1.fastq.gz",20350,19402,19362,19317,62,61
"SRR24360008","SRR24360008_1.fastq.gz",6774,6276,6260,6233,0,0
"SRR24360009","SRR24360009_1.fastq.gz",12372,11262,11087,11009,96,96
"SRR24360010","SRR24360010_1.fastq.gz",8995,7589,7099,7057,155,155
"SRR24360011","SRR24360011_1.fastq.gz",10891,10124,10090,9969,49,48
"SRR24360012","SRR24360012_1.fastq.gz",5625,4475,4448,4437,4,4
"SRR24360013","SRR24360013_1.fastq.gz",16868,15398,15339,15291,10,10
"SRR24360014","SRR24360014_1.fastq.gz",9582,8820,8725,8715,38,37
"SRR24360015","SRR24360015_1.fastq.gz",3605,3401,3321,3306,11,11
"SRR24360016","SRR24360016_1.fastq.gz",16880,16037,15993,15990,10,10
"SRR24360017","SRR24360017_1.fastq.gz",10697,10103,10046,10026,18,18
"SRR24360018","SRR24360018_1.fastq.gz",6541,6139,6075,6078,20,20
"SRR24360019","SRR24360019_1.fastq.gz",7127,6562,6493,6432,5,5
"SRR24360020","SRR24360020_1.fastq.gz",50094,45966,45920,45755,77,72
"SRR24360021","SRR24360021_1.fastq.gz",11912,11036,11007,10962,25,25
"SRR24360022","SRR24360022_1.fastq.gz",15916,14774,14749,14730,12,12
"SRR24360023","SRR24360023_1.fastq.gz",36886,34570,34448,34454,7,7
"SRR24360024","SRR24360024_1.fastq.gz",12172,11371,11354,11241,7,7
"SRR24360025","SRR24360025_1.fastq.gz",664,586,405,340,30,30
"SRR24360026","SRR24360026_1.fastq.gz",10303,9374,9301,9301,15,15
"SRR24360027","SRR24360027_1.fastq.gz",8357,7543,7411,7416,0,0
"SRR24360028","SRR24360028_1.fastq.gz",7266,6714,6640,6627,71,71
"SRR24360029","SRR24360029_1.fastq.gz",6145,5701,5662,5645,24,24
"SRR24360030","SRR24360030_1.fastq.gz",11838,11076,11016,10990,29,29
"SRR24360031","SRR24360031_1.fastq.gz",8901,8306,8274,8243,30,30
"SRR24360032","SRR24360032_1.fastq.gz",6972,6487,6434,6441,37,37
"SRR24360033","SRR24360033_1.fastq.gz",92,51,12,10,0,0
"SRR24360034","SRR24360034_1.fastq.gz",13502,12609,12578,12550,35,34
"SRR24360035","SRR24360035_1.fastq.gz",64861,60707,60394,60359,308,267
"SRR24360036","SRR24360036_1.fastq.gz",16378,15110,15025,15047,57,56
"SRR24360037","SRR24360037_1.fastq.gz",15528,14491,14412,14406,13,13
"SRR24360038","SRR24360038_1.fastq.gz",17427,16273,16212,16160,32,32
"SRR24360039","SRR24360039_1.fastq.gz",4961,4619,4578,4530,17,17
"SRR24360040","SRR24360040_1.fastq.gz",6158,5699,5662,5639,0,0
"SRR24360041","SRR24360041_1.fastq.gz",14396,13530,13243,13139,6,6
"SRR24360042","SRR24360042_1.fastq.gz",12343,11171,10972,10992,106,106
"SRR24360043","SRR24360043_1.fastq.gz",22064,20433,20363,20370,83,77
"SRR24360044","SRR24360044_1.fastq.gz",14051,13211,13180,13083,37,37
"SRR24360045","SRR24360045_1.fastq.gz",11921,10777,10567,10555,69,69
