"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"SRR24359981_1.fastq.gz",5889,5421,5414,5413,5364,5185
"SRR24359982_1.fastq.gz",13192,10710,10219,10343,8853,6188
"SRR24359983_1.fastq.gz",67187,59786,59547,59629,58896,52803
"SRR24359984_1.fastq.gz",2714,1987,1435,1536,1054,810
"SRR24359985_1.fastq.gz",6938,6311,6257,6284,6193,5761
"SRR24359986_1.fastq.gz",11226,10113,10040,10082,10004,9294
"SRR24359987_1.fastq.gz",10946,9889,9828,9870,9786,9207
"SRR24359988_1.fastq.gz",4788,4333,4290,4316,4245,3970
"SRR24359989_1.fastq.gz",14021,12780,12739,12744,12572,11097
"SRR24359990_1.fastq.gz",9568,8747,8727,8733,8658,7493
"SRR24359991_1.fastq.gz",14058,12885,12850,12860,12763,10926
"SRR24359992_1.fastq.gz",19924,17665,17577,17614,17415,15988
"SRR24359993_1.fastq.gz",15422,13550,13312,13388,13224,12422
"SRR24359994_1.fastq.gz",13674,12257,12119,12168,12063,11423
"SRR24359995_1.fastq.gz",13764,12503,12445,12477,12329,11568
"SRR24359996_1.fastq.gz",12893,11605,11524,11569,11436,10581
"SRR24359997_1.fastq.gz",14997,13854,13798,13827,13656,11705
"SRR24359998_1.fastq.gz",20402,18873,18806,18829,18652,17448
"SRR24359999_1.fastq.gz",8388,7575,7542,7552,7482,6265
"SRR24360000_1.fastq.gz",233,137,32,24,8,6
"SRR24360001_1.fastq.gz",7907,7258,7202,7244,7185,6754
"SRR24360002_1.fastq.gz",18235,15919,15784,15837,15711,14911
"SRR24360003_1.fastq.gz",15561,12958,12269,12390,12113,11188
"SRR24360004_1.fastq.gz",9920,8982,8884,8970,8804,8190
"SRR24360005_1.fastq.gz",7145,6534,6511,6511,6441,5936
"SRR24360006_1.fastq.gz",4469,4127,4080,4097,3982,3637
"SRR24360007_1.fastq.gz",20350,19168,19116,19140,18971,18492
"SRR24360008_1.fastq.gz",6774,6181,6170,6152,6070,5670
"SRR24360009_1.fastq.gz",12372,11009,10792,10821,10517,9683
"SRR24360010_1.fastq.gz",8995,7282,6715,6861,6629,6338
"SRR24360011_1.fastq.gz",10891,9841,9791,9815,9726,9042
"SRR24360012_1.fastq.gz",5625,4369,4328,4358,4284,3764
"SRR24360013_1.fastq.gz",16868,15110,15028,15068,14963,13973
"SRR24360014_1.fastq.gz",9582,8602,8510,8528,8386,8037
"SRR24360015_1.fastq.gz",3605,3339,3289,3311,3233,3025
"SRR24360016_1.fastq.gz",16880,15814,15773,15787,15669,11659
"SRR24360017_1.fastq.gz",10697,9997,9955,9956,9846,8955
"SRR24360018_1.fastq.gz",6541,6037,6009,6027,5938,5597
"SRR24360019_1.fastq.gz",7127,6428,6364,6388,6332,5892
"SRR24360020_1.fastq.gz",50094,44708,44566,44669,44204,40114
"SRR24360021_1.fastq.gz",11912,10810,10767,10803,10678,9729
"SRR24360022_1.fastq.gz",15916,14526,14501,14505,14419,13200
"SRR24360023_1.fastq.gz",36886,33962,33789,33893,33122,24552
"SRR24360024_1.fastq.gz",12172,11240,11218,11224,11126,9914
"SRR24360025_1.fastq.gz",664,567,401,423,193,151
"SRR24360026_1.fastq.gz",10303,9100,9037,9070,8981,8479
"SRR24360027_1.fastq.gz",8357,7340,7268,7285,7196,6777
"SRR24360028_1.fastq.gz",7266,6521,6483,6508,6446,5992
"SRR24360029_1.fastq.gz",6145,5590,5546,5567,5504,4921
"SRR24360030_1.fastq.gz",11838,10869,10822,10825,10716,10088
"SRR24360031_1.fastq.gz",8901,8150,8105,8130,8085,7683
"SRR24360032_1.fastq.gz",6972,6379,6343,6347,6299,6038
"SRR24360033_1.fastq.gz",92,49,16,17,12,12
"SRR24360034_1.fastq.gz",13502,12328,12242,12309,12141,11436
"SRR24360035_1.fastq.gz",64861,59232,58965,59053,58129,53005
"SRR24360036_1.fastq.gz",16378,14781,14723,14744,14573,13546
"SRR24360037_1.fastq.gz",15528,14129,14051,14095,13929,12694
"SRR24360038_1.fastq.gz",17427,15852,15766,15821,15689,14722
"SRR24360039_1.fastq.gz",4961,4537,4506,4509,4414,3802
"SRR24360040_1.fastq.gz",6158,5629,5607,5606,5498,4520
"SRR24360041_1.fastq.gz",14396,13291,12916,13045,11525,8285
"SRR24360042_1.fastq.gz",12343,10919,10768,10795,10710,10237
"SRR24360043_1.fastq.gz",22064,19992,19917,19977,19733,18312
"SRR24360044_1.fastq.gz",14051,12977,12921,12950,12877,12479
"SRR24360045_1.fastq.gz",11921,10472,10279,10336,10101,9654
