"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae_A_595421",NA,NA
"2","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae_A_595421",NA,NA
"3","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae_A_595421",NA,NA
"4","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae_A_595421",NA,NA
"5","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae_A_595421",NA,NA
"6","d__Bacteria",NA,NA,NA,NA,NA,NA
"7","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae_A_595421",NA,NA
"8","d__Bacteria",NA,NA,NA,NA,NA,NA
"9","d__Bacteria",NA,NA,NA,NA,NA,NA
"10","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Stenotrophomonas_A_615274","s__pavanii"
"11","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Stenotrophomonas_A_615274","s__pavanii"
"12","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae_A_595421",NA,NA
"13","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae_A_595421",NA,NA
"14","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Stenotrophomonas_A_615274","s__pavanii"
"15","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae_A_595421",NA,NA
"16","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Stenotrophomonas_A_615274","s__pavanii"
"17","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Stenotrophomonas_A_615274","s__pavanii"
"18","d__Bacteria",NA,NA,NA,NA,NA,NA
"19","d__Bacteria","p__Patescibacteria",NA,NA,NA,NA,NA
"20","d__Bacteria",NA,NA,NA,NA,NA,NA
"21","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae_A_595421",NA,NA
"22","d__Bacteria",NA,NA,NA,NA,NA,NA
"23","d__Bacteria",NA,NA,NA,NA,NA,NA
"24","d__Bacteria",NA,NA,NA,NA,NA,NA
"25","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae_A_595421",NA,NA
"26","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Stenotrophomonas_A_615274",NA
"27","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae_A_595421",NA,NA
"28","d__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Rickettsiales","f__Mitochondria",NA,NA
"29","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Stenotrophomonas_A_615274","s__pavanii"
"30","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Stenotrophomonas_A_615274","s__pavanii"
"31","d__Bacteria",NA,NA,NA,NA,NA,NA
"32","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae_A_595421",NA,NA
"33","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae_A_595421",NA,NA
"34","d__Bacteria",NA,NA,NA,NA,NA,NA
"35","d__Bacteria",NA,NA,NA,NA,NA,NA
"36","d__Bacteria","p__Patescibacteria",NA,NA,NA,NA,NA
"37","d__Bacteria","p__Pseudomonadota",NA,NA,NA,NA,NA
"38","d__Bacteria",NA,NA,NA,NA,NA,NA
"39","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae_A_595421",NA,NA
"40","d__Bacteria",NA,NA,NA,NA,NA,NA
"41","d__Bacteria","p__Patescibacteria",NA,NA,NA,NA,NA
"42","d__Bacteria",NA,NA,NA,NA,NA,NA
"43","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae_A_595421",NA,NA
"44","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Stenotrophomonas_A_615274",NA
"45","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae_A_595421",NA,NA
"46","d__Bacteria","p__Campylobacterota_A","c__Campylobacteria","o__Campylobacterales","f__Helicobacteraceae",NA,NA
"47","d__Bacteria",NA,NA,NA,NA,NA,NA
"48","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae_A_595421","g__Ralstonia","s__mannitolilytica"
"49","d__Bacteria",NA,NA,NA,NA,NA,NA
"50","d__Bacteria",NA,NA,NA,NA,NA,NA
"51","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae_A_595421","g__Ralstonia","s__mannitolilytica"
"52","d__Bacteria","p__Patescibacteria",NA,NA,NA,NA,NA
"53","d__Bacteria",NA,NA,NA,NA,NA,NA
"54","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae_A_595421",NA,NA
"55","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Stenotrophomonas_A_615274",NA
"56","d__Bacteria","p__Campylobacterota_A","c__Campylobacteria","o__Campylobacterales","f__Helicobacteraceae",NA,NA
"57","d__Bacteria","p__Campylobacterota_A","c__Campylobacteria","o__Campylobacterales","f__Helicobacteraceae",NA,NA
"58","d__Bacteria","p__Pseudomonadota",NA,NA,NA,NA,NA
"59","d__Bacteria",NA,NA,NA,NA,NA,NA
"60","d__Bacteria","p__Campylobacterota_A","c__Campylobacteria","o__Campylobacterales","f__Helicobacteraceae",NA,NA
"61","d__Bacteria",NA,NA,NA,NA,NA,NA
"62","d__Bacteria",NA,NA,NA,NA,NA,NA
"63","d__Bacteria",NA,NA,NA,NA,NA,NA
"64","d__Bacteria",NA,NA,NA,NA,NA,NA
"65","d__Bacteria",NA,NA,NA,NA,NA,NA
"66","d__Bacteria","p__Campylobacterota_A","c__Campylobacteria","o__Campylobacterales","f__Helicobacteraceae",NA,NA
"67","d__Bacteria","p__Patescibacteria",NA,NA,NA,NA,NA
"68","d__Bacteria",NA,NA,NA,NA,NA,NA
"69","d__Bacteria","p__Campylobacterota_A","c__Campylobacteria","o__Campylobacterales","f__Helicobacteraceae",NA,NA
"70","d__Bacteria","p__Campylobacterota_A","c__Campylobacteria","o__Campylobacterales","f__Helicobacteraceae",NA,NA
"71","d__Bacteria","p__Campylobacterota_A","c__Campylobacteria","o__Campylobacterales","f__Helicobacteraceae",NA,NA
"72","d__Bacteria",NA,NA,NA,NA,NA,NA
"73","d__Bacteria",NA,NA,NA,NA,NA,NA
"74","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Stenotrophomonas_A_615274",NA
"75","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Stenotrophomonas_A_615274",NA
"76","d__Bacteria",NA,NA,NA,NA,NA,NA
"77","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae_A_595421","g__Ralstonia","s__mannitolilytica"
"78","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Stenotrophomonas_A_615274",NA
"79","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Stenotrophomonas_A_615274",NA
"80","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Stenotrophomonas_A_615274",NA
"81","d__Bacteria",NA,NA,NA,NA,NA,NA
"82","d__Bacteria",NA,NA,NA,NA,NA,NA
"83","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Stenotrophomonas_A_615274",NA
"84","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Stenotrophomonas_A_615274",NA
"85","d__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Rickettsiales","f__Mitochondria",NA,NA
"86","d__Bacteria",NA,NA,NA,NA,NA,NA
"87","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales_A_650611","f__Pseudomonadaceae","g__Pseudomonas_E_647464",NA
"88","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales_A_650611","f__Pseudomonadaceae","g__Pseudomonas_E_647464",NA
"89","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales_A_650611","f__Pseudomonadaceae","g__Pseudomonas_E_647464",NA
"90","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales_A_650611","f__Pseudomonadaceae","g__Pseudomonas_E_647464",NA
"91","d__Bacteria","p__Campylobacterota_A","c__Campylobacteria","o__Campylobacterales","f__Helicobacteraceae",NA,NA
"92","d__Bacteria",NA,NA,NA,NA,NA,NA
"93","d__Bacteria",NA,NA,NA,NA,NA,NA
"94","d__Bacteria","p__Campylobacterota_A","c__Campylobacteria","o__Campylobacterales","f__Helicobacteraceae",NA,NA
"95",NA,NA,NA,NA,NA,NA,NA
"96","d__Bacteria",NA,NA,NA,NA,NA,NA
"97","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae_A_595421","g__Variovorax","s__gossypii"
"98","d__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Rickettsiales","f__Mitochondria",NA,NA
"99","d__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Rickettsiales","f__Mitochondria",NA,NA
"100","d__Bacteria","p__Campylobacterota_A","c__Campylobacteria","o__Campylobacterales","f__Helicobacteraceae",NA,NA
"101","d__Bacteria","p__Campylobacterota_A","c__Campylobacteria","o__Campylobacterales","f__Helicobacteraceae",NA,NA
"102","d__Bacteria","p__Campylobacterota_A","c__Campylobacteria","o__Campylobacterales","f__Helicobacteraceae",NA,NA
